semester,courseName,creditHour,grade,points,type,rmk
1,English Composition & Comprehension Lab,1,A,4,C,
1,Applied Physics,3,A,4,C,
1,Calculus & Analytical Geometry,3,A,4,C,
1,Programming Fundamentals,3,F,0,C,
1,Programming Fundamentals Lab,1,A-,3.67,C,
1,English Composition & Comprehension,2,A,4,C,
1,Islamic Studies/ Ethics,2,A,4,C,
2,Digital Logic Design,3,A,4,C,
2,Differential Equations,3,A,4,C,
2,Digital Logic Design Lab,1,A,4,C,
2,Programming Fundamentals,3,A,4,C,R-1
2,Pakistan Studies,2,A,4,C,
2,Communication & Presentation Skills,3,A,4,C,
2,Programming Fundamentals Lab,1,A,4,C,R-1
3,Discrete Structures,3,A,4,C,
3,Comp. Organization & Assembly Language,3,A,4,C,
3,Object Oriented Programming,3,A,4,C,
3,Object Oriented Programming Lab,1,A,4,C,
3,Linear Algebra,3,A,4,C,
3,Comp. Organization & Assembly Language Lab,1,A,4,C,
3,Foreign Language,2,A,4,E,
4,Social Science Related,3,A,4,E,
4,Data Structures & Algorithms Lab,1,A,4,C,
4,Data Structures & Algorithms,3,A,4,C,
4,Theory of Automata,3,A,4,C,
4,Economy Related,3,A,4,E,
4,Probability & Statistics,3,A,4,C,
5,Database Systems Lab,1,A,4,C,
5,Operating Systems,3,A,4,C,
5,Social Service,1,A,4,E,
5,Operating Systems Lab,1,A,4,C,
5,Database Systems,3,A,4,C,
5,Graph Theory,3,A,4,C,
5,Design & Analysis of Algorithms,3,A,4,C,
6,Artificial Intelligence Lab,1,A,4,C,
6,Artificial Intelligence,3,A,4,C,
6,CS Elective 1,3,A,4,E,
6,Computer Networks,3,A,4,C,
6,Numerical Computing,3,A,4,C,
6,Software Engineering,3,A,4,C,
6,Technical & Business Writing,3,A,4,C,
6,Computer Networks Lab,1,A,4,C,
7,Final Year Project 1,3,A,4,C,
7,CS Elective 2,3,A,4,C,
7,Compiler Construction,3,A,4,E,
7,Information Security,3,A,4,E,
7,Parallel & Distributed Computing,3,A,4,C,
7,CS Elective 3,3,A,4,C,
8,Intro to Info. & Comm. Technologies,3,A,4,E,
8,CS Elective 4,3,A,4,E,
8,CS Elective 5,3,A,4,E,
8,Management Related,3,A,4,E,
8,Information Security,3,A,4,E,R-1
8,Final Year Project 2,3,A,4,C,
8,Professional Practices,3,A,4,C,
