semester,courseName,creditHour,grade,points,type,rmk
1,English Composition & Comprehension Lab,1,B+,3.33,C,
1,Applied Physics,3,D+,1.33,C,
1,Calculus & Analytical Geometry,3,B-,2.67,C,
1,Programming Fundamentals,3,F,0,C,
1,Programming Fundamentals Lab,1,D+,1.33,C,
1,English Composition & Comprehension,3,B+,3.33,C,
1,Islamic Studies/ Ethics,3,C-,1.67,C,
2,Digital Logic Design,3,A+,4,C,
2,Differential Equations,3,B,3,C,
2,Digital Logic Design Lab,1,A-,3.67,C,
2,Programming Fundamentals,3,C+,2.33,C,R-1
2,Pakistan Studies,3,A-,3.67,C,
2,Communication & Presentation Skills,3,A,4,C,
2,Programming Fundamentals Lab,1,B-,2.67,C,R-1
3,Discrete Structures,3,B-,2.67,C,
3,Comp. Organization & Assembly Language,3,C-,1.67,C,
3,Object Oriented Programming,3,C+,2.33,C,
3,Object Oriented Programming Lab,1,A,4,C,
3,Linear Algebra,3,A-,3.67,C,
3,Comp. Organization & Assembly Language Lab,1,A,4,C,
3,Management Related,3,C-,1.67,E,
4,Social Science Related,3,C,2,E,
4,Data Structures & Algorithms,3,C+,2.33,C,
4,Theory of Automata,3,C,2,C,
4,Economy Related,3,C,2,E,
4,Probability & Statistics,4,B,3,C,
5,Domain CS Core Lab,1,A-,3.67,C,
5,Domain CS Core,3,C+,2.33,C,
5,Database Systems Lab,1,B-,2.67,C,
5,Operating Systems,3,B-,2.67,C,
5,Management Related,3,B,3,E,
5,Operating Systems Lab,1,B+,3.33,C,
5,Database Systems,3,B,3,C,
5,Design & Analysis of Algorithms,3,B-,2.67,C,
6,Artificial Intelligence,3,B+,3.33,C,
6,CS Elective 1,3,C+,2.33,E,
6,Computer Networks,3,C-,1.67,C,
6,Software Engineering,3,B-,2.67,C,
6,Technical & Business Writing,3,A-,3.67,C,
6,Computer Architecture,3,C,2,C,
6,Computer Networks Lab,1,B,3,C,
7,Final Year Project,3,A+,4,C,
7,CS Elective 2,3,C+,2.33,C,
7,Fund.of Probabilis Programming,3,B,3,E,
7,Information Security,3,C-,1.67,E,
7,CS Elective 3,3,C,2,C,
8,Intro to Info. & Comm. Technologies,3,S,0,E,
8,CS Elective 4,3,S,0,E,
8,CS Elective 5,3,S,0,E,
8,Management Related,3,S,0,E,
8,Information Security,3,A,4,E,R-1
8,Final Year Project,3,A+,4,C,
